fpr,tpr
0.0,0.0
0.05263157894736842,0.43714285714285717
0.10526315789473684,0.5142857142857143
0.15789473684210525,0.5428571428571429
0.21052631578947367,0.6171428571428572
0.2631578947368421,0.6399999999999999
0.3157894736842105,0.6828571428571429
0.3684210526315789,0.7285714285714286
0.42105263157894735,0.7657142857142858
0.47368421052631576,0.78
0.5263157894736842,0.8114285714285714
0.5789473684210527,0.8542857142857143
0.631578947368421,0.8828571428571429
0.6842105263157894,0.8942857142857144
0.7368421052631579,0.917142857142857
0.7894736842105263,0.9285714285714285
0.8421052631578947,0.9571428571428571
0.894736842105263,0.9714285714285715
0.9473684210526315,0.9984962406015038
1.0,1.0
