,X
F1,-0.6345013615994117
F1 SD,0.7002823305969661
F1v,-0.891467692552819
F2,0.3202189525418573
F3,-0.5693908920857994
F4,-0.49776681970724485
N1,-0.9540687920184858
N2,-0.7220532166773095
N2 SD,0.6306505374756434
N3,-0.9631778616108344
N3 SD,-0.9088852284842698
N4,-0.08060218091950512
N4 SD,-0.2059625491573909
T1,0.4114169025766015
T1 SD,0.48227630623101364
LSC,-0.6353413607190639
L1,-0.7469980050684198
L2,-0.8681635078559994
L3,-0.8825061748269615
T2,-0.5901703951953835
T3,-0.6928966853214034
T4,-0.2949225120657385
C1,-0.050700966409894146
C2,0.052060247592863707
Density,-0.7688209538389652
ClsCoef,-0.7896626575199107
Hubs,-0.3946731807283273
Hubs SD,0.6342092862790891
X,1.0
